 name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
 Still Alice	2014		7.5	101	Drama		February	72	A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimers Disease.
 Blue Jasmine	2013	3	7.3	98	Drama		August	78	A New York socialite deeply troubled and in denial arrives in San Francisco to impose upon her sister. She looks a million but isnt bringing money peace or love...
 Silver Linings Playbook	2012	8	7.8	122	Comedy	Drama	November	81	After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.
 The Iron Lady	2011	2	6.4	105	Biography	Drama	January	54	An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life from girlhood to British prime minister intervene.
 Black Swan	2010	5	8	108	Drama	Thriller	December	79	A committed dancer wins the lead role in a production of Tchaikovskys "Swan Lake" only to find herself struggling to maintain her sanity.
 The Blind Side	2009	2	7.7	129	Biography	Drama	November	53	The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.
 The Reader	2008	5	7.6	124	Drama	Romance	January	58	Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.
 La vie en rose	2007	3	7.7	140	Biography	Drama	February	66	The life story of singer Édith Piaf.
 The Queen	2006	6	7.4	103	Biography	Drama	October	91	After the death of Princess Diana Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.
 Walk the Line	2005	5	7.9	136	Biography	Drama	November	72	A chronicle of country music legend Johnny Cashs life from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis where he recorded alongside Elvis Presley Jerry Lee Lewis and Carl Perkins.
 Million Dollar Baby	2004	7	8.1	132	Drama	Sport	January	86	A determined woman works with a hardened boxing trainer to become a professional.
 Monster	2003	 	7.3	109	Biography	Crime	January	74	Based on the life of Aileen Wuornos a Daytona Beach prostitute who became a serial killer.
 The Hours	2002	9	7.6	114	Drama		January	81	The story of how the novel "Mrs. Dalloway" affects three generations of women all of whom in one way or another have had to deal with suicide in their lives.
 Monsters Ball	2001	2	7.1	111	Drama	Romance	February	69	After a family tragedy a racist prison guard reexamines his attitudes while falling in love with the African American wife of the last prisoner he executed.
 Erin Brockovich	2000	5	7.3	131	Biography	Drama	March	73	An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.
 Boys Don't Cry	1999	2	7.6	118	Biography	Drama	October	86	Female born Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.
 Shakespeare in Love	1998	13	7.2	123	Comedy	Drama	December	87	A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.
 As Good As It Gets	1997	7	7.7	139	Comedy	Drama	December	67	A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
 Fargo	1996	7	8.2	98	Crime	Drama	April	85	Jerry Lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant Marge Gunderson.
 Dead Man Walking	1995	4	7.6	122	Crime	Drama	February	80	A nun while comforting a convicted killer on death row empathizes with both the killer and his victims families.
 Blue Sky	1994	 	6.4	101	Drama	Romance	September		Jessica Lange stars in a period drama about a family moving to a military base and she quickly becomes part of a cover-up involving nuclear bomb tests.
 The Piano	1993	8	7.6	121	Drama	Music	November	89	A mute woman along with her young daughter and her prized piano are sent to 1850s New Zealand for an arranged marriage to a wealthy landowner and shes soon lusted after by a local worker on the plantation.
 Howards End	1992	9	7.5	140	Drama	Romance	May	87	A businessman thwarts his wifes bequest of an estate to another woman.
 The Silence of the Lambs	1991	7	8.6	118	Crime	Drama	February	84	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
 Misery	1990	 	7.8	107	Thriller		November		After a famous author is rescued from a car crash by a fan of his novels he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.
 Driving Miss Daisy	1989	9	7.4	99	Comedy	Drama	January	81	An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
 The Accused	1988	 	7.1	111	Crime	Drama	October		After a young woman suffers a brutal rape in a bar one night a prosecutor assists in bringing the perpetrators to justice including the ones who encouraged and cheered on the attack.
